,State_Full,short_fips,State_Abbr,Jurisdiction_Name,non_white_population,num_senior,num_pw_old,difficulty,num_in_person,num_inactive,voter_per_location,voter_per_machine,voter_per_pw,wait_time,wait_count,num_same_day_locations,num_machines,num_pollworkers,num_pw_old,voters_removed,num_precincts,total_mail_ballots,percent_early_vote,percent_rejected_ballot,median_age,median_household_income,total_population,eligible_voters,frac_pw_old,percent_in_person,percent_inactive,percent_minority,percent_over_60
0,ALABAMA,01001,AL,AUTAUGA COUNTY,12763.0,10744.0,96.0,4.0,19081.0,3379.0,2093.157894736842,864.5652173913044,337.03389830508473,,,19.0,46.0,118.0,96.0,2678,19.0,728,,0.005194805194805195,37.8,58786.0,55200.0,39770.0,0.8135593220338984,0.9601469330247069,0.08496354035705306,0.23121376811594202,0.1946376811594203
1,ALABAMA,01003,AL,BALDWIN COUNTY,28581.0,55516.0,424.0,3.0,75068.0,13826.0,3165.8571428571427,1251.024193548387,300.0522243713733,,,49.0,124.0,517.0,424.0,14145,91.0,2748,,0.00712204596956944,42.8,55962.0,208107.0,155127.0,0.8201160541586073,0.9591638556679956,0.08912697338309901,0.1373380040075538,0.26676661525080847
2,ALABAMA,01005,AL,BARBOUR COUNTY,13566.0,6285.0,72.0,4.0,7690.0,1452.0,184.2872340425532,524.939393939394,190.36263736263737,,,94.0,33.0,91.0,72.0,1409,21.0,684,,0.09566184649610679,39.9,34186.0,25782.0,17323.0,0.7912087912087912,0.9095209934949734,0.08381919990763724,0.5261810565510822,0.24377472655340934
3,ALABAMA,01007,AL,BIBB COUNTY,5259.0,4877.0,52.0,3.0,6668.0,999.0,1780.5,749.6842105263158,200.61971830985917,,,8.0,19.0,71.0,52.0,886,16.0,196,,0.0,39.9,45340.0,22527.0,14244.0,0.7323943661971831,0.9705967976710335,0.07013479359730412,0.23345318950592622,0.21649576064278422
4,ALABAMA,01009,AL,BLOUNT COUNTY,2591.0,13846.0,104.0,4.0,19120.0,2335.0,1526.423076923077,763.2115384615385,317.496,,,26.0,52.0,125.0,104.0,2350,29.0,426,,0.002232142857142857,40.8,48695.0,57645.0,39687.0,0.832,0.9774051732951641,0.05883538690251216,0.044947523636048224,0.24019429265330905
5,ALABAMA,01011,AL,BULLOCK COUNTY,8076.0,2470.0,57.0,1.0,3500.0,700.0,111.5223880597015,149.44,73.25490196078431,1.9538461538461538,130.0,67.0,50.0,102.0,57.0,469,17.0,204,,0.03463203463203463,39.6,32152.0,10352.0,7472.0,0.5588235294117647,0.9444144630329195,0.0936830835117773,0.7801391035548686,0.23860123647604328
6,ALABAMA,01013,AL,BUTLER COUNTY,9611.0,5176.0,126.0,4.0,7636.0,918.0,639.9545454545455,281.58,93.86,,,22.0,50.0,150.0,126.0,1084,22.0,584,,0.03143712574850299,40.7,39109.0,20025.0,14079.0,0.7875,0.9266990291262136,0.06520349456637545,0.4799500624219725,0.2584769038701623
7,ALABAMA,01015,AL,CALHOUN COUNTY,29540.0,27464.0,284.0,4.0,35891.0,6317.0,1655.8260869565217,785.2371134020618,238.025,,,46.0,97.0,320.0,284.0,5844,46.0,1003,,0.00819672131147541,39.7,45197.0,115098.0,76168.0,0.8875,0.9698959600054047,0.08293509085180129,0.2566508540548055,0.23861405063511096
8,ALABAMA,01017,AL,CHAMBERS COUNTY,14343.0,8614.0,12.0,4.0,11032.0,1893.0,1218.35,435.125,487.34,,,20.0,56.0,50.0,12.0,2214,39.0,386,,0.002277904328018223,43.0,39872.0,33826.0,24367.0,0.24,0.9641671036532075,0.07768703574506505,0.42402294093301013,0.25465618163542836
9,ALABAMA,01019,AL,CHEROKEE COUNTY,1856.0,7538.0,93.0,4.0,8286.0,1085.0,777.9565217391304,331.35185185185185,144.2983870967742,,,23.0,54.0,124.0,93.0,1196,23.0,306,,0.006329113924050633,45.9,41014.0,25853.0,17893.0,0.75,0.9624811244046928,0.06063823841725815,0.07179050787142692,0.2915715777666035
